Timestamp,Quat_w,Quat_x,Quat_y,Quat_z,X Angle,Y Angle,Z Angle
0
0.760064,0.9991323,-0.00418518,0.04143934,0.0001735817,359.52,4.75,1.667585E-09
0.7794,0.9976942,-0.00626878,0.06757863,0.0004246145,359.28,7.75,-1.000595E-08
0.7931048,0.9951187,-0.01146345,0.09801063,0.001129051,358.68,11.25,0
0.8152966,0.9910355,-0.01556843,0.1326725,0.002084186,358.2,15.25,-5.338719E-08
0.8262871,0.9845464,-0.02268634,0.1736021,0.004000215,357.36,20,2.136702E-07
0.8424961,0.9786826,-0.02665332,0.2035663,0.005543898,356.88,23.5,0
0.859925,0.9729609,-0.02853688,0.2291019,0.006719544,356.64,26.5,1.069055E-07
0.8768616,0.966503,-0.03239996,0.254459,0.008530197,356.16,29.5,-2.139237E-07
0.892984,0.9581758,-0.03513472,0.2838246,0.01040738,355.8,33,-4.280363E-07
0.9191254,0.9530393,-0.03594577,0.3004921,0.01133365,355.68,34.99999,0
0.925908,0.9434182,-0.03558289,0.3294564,0.0124261,355.68,38.50001,-1.070258E-07
0.9425769,0.9412418,-0.0355008,0.3356239,0.01265872,355.68,39.25,4.281031E-07
0.9587332,0.9329171,-0.03518682,0.3581133,0.01350696,355.68,42,3.210773E-07
0.9753388,0.9281496,-0.035007,0.3702942,0.01396638,355.68,43.5,1.070258E-07
0.992092,0.9249189,-0.03391524,0.3783943,0.01387509,355.8,44.5,0
1.008114,0.9207712,-0.03279766,0.3884757,0.01383741,355.92,45.75,-5.349643E-07
1.024617,0.9182089,-0.03270639,0.3944936,0.01405177,355.92,46.5,2.139857E-07
1.041284,0.9129665,-0.03251965,0.4064789,0.01447868,355.92,48,3.209786E-07
1.057404,0.9102866,-0.0324242,0.4124455,0.01469122,355.92,48.75,3.209785E-07
1.073873,0.9066527,-0.03229476,0.4203734,0.01497361,355.92,49.75,0
1.090519,0.9020133,-0.03212951,0.4302382,0.01532499,355.92,51,3.209786E-07
1.10846,0.8944001,-0.03092056,0.4459314,0.01541642,356.04,53,0
1.124172,0.887578,-0.02789326,0.4595854,0.01444306,356.4,54.75,4.277309E-07
1.141121,0.8804846,-0.02674742,0.4731014,0.01437191,356.52,56.5,3.207566E-07
1.157001,0.8732108,-0.02469604,0.486522,0.01375975,356.76,58.25,0
1.173658,0.8657519,-0.0217633,0.4998421,0.01256505,357.12,60,1.068567E-07
1.190157,0.8591784,-0.01979755,0.5111575,0.01177831,357.36,61.50001,0
1.206534,0.8558722,-0.01703133,0.5168046,0.01028409,357.72,62.25,1.068063E-07
1.223558,0.8513633,-0.01515787,0.5242744,0.009334303,357.96,63.25,-3.203682E-07
1.239353,0.8479919,-0.009768595,0.5298842,0.006104096,358.68,64,0
1.261384,0.8468784,-0.004434282,0.5317609,0.002784317,359.4,64.25,2.668189E-08
1.274099,0.8480365,0.004440352,0.529912,-0.00277464,0.6000004,64,0
1.289009,0.8502958,0.00979514,0.526179,-0.006061417,1.32,63.5,-5.337501E-08
1.305893,0.8558539,0.01792759,0.5167935,-0.01082528,2.4,62.24999,-2.136308E-07
1.322633,0.8665646,0.03086684,0.4977937,-0.01773131,4.080001,59.75,-2.139857E-07
1.339739,0.8788793,0.0414469,0.4747128,-0.02238689,5.400001,56.75,0
1.358887,0.8916039,0.04953621,0.4494054,-0.02496831,6.360002,53.5,2.147652E-07
1.373166,0.9106705,0.06016739,0.4078396,-0.02694569,7.560001,48.25,4.3063E-07
1.389237,0.9240852,0.06494249,0.3757018,-0.02640343,8.040002,44.25,-2.155623E-07
1.404666,0.9342984,0.06664357,0.3493199,-0.024917,8.160004,41,4.31253E-07
1.425181,0.9423407,0.06820912,0.3267753,-0.02365286,8.280002,38.25,-2.156918E-07
1.439191,0.9562448,0.07022225,0.2832527,-0.02080078,8.400002,33.00001,6.472739E-07
1.453887,0.9647732,0.07389652,0.2517542,-0.01928304,8.760003,29.25001,4.319252E-07
1.472366,0.9708748,0.07640951,0.2263763,-0.0178162,9,26.25,2.16104E-07
1.487084,0.9776807,0.0779754,0.1944728,-0.01551027,9.120001,22.5,0
1.503763,0.9834376,0.07947102,0.1623662,-0.01312072,9.24,18.75,-4.324987E-07
1.520092,0.9895839,0.07996769,0.1193147,-0.009641752,9.239999,13.75,1.081247E-07
1.536309,0.9919512,0.080159,0.09769867,-0.007894972,9.24,11.25,0
1.553152,0.9935887,0.07924414,0.08037861,-0.006410634,9.119999,9.250001,5.404404E-08
1.569376,0.9952698,0.07728082,0.05869413,-0.004557488,8.880001,6.75,5.40082E-08
1.585589,0.9964732,0.075275,0.0369744,-0.002793099,8.64,4.25,-2.698668E-08
1.602302,0.9973803,0.07114318,0.01305642,-0.0009313152,8.160002,1.5,1.347666E-08
1.619384,0.9976125,0.06906002,-5.189068E-10,3.592148E-11,7.92,-5.960464E-08,4.013981E-16
1.635525,0.9976386,0.06696267,-0.01523675,0.001022708,7.68,358.25,-5.384384E-08
1.652593,0.9973225,0.06169774,-0.03918491,0.00242411,7.079999,355.5,-8.065627E-08
1.669494,0.9953722,0.05843868,-0.07615285,0.004470963,6.72,351.25,5.372998E-08
1.684876,0.9938051,0.05625833,-0.09569255,0.005417062,6.48,349,1.074079E-07
1.701578,0.9923434,0.0540908,-0.1108707,0.006043357,6.239999,347.25,-1.610367E-07
1.718084,0.9906993,0.05088009,-0.1260329,0.006472764,5.879999,345.5,5.364308E-08
1.733942,0.9861994,0.04754306,-0.1584049,0.007636446,5.519999,341.75,3.216567E-07
1.750274,0.9825582,0.04633626,-0.1798901,0.0084834,5.4,339.25,1.071974E-07
1.76665,0.9788369,0.04616076,-0.1991466,0.009391513,5.399999,337,0
1.783638,0.9761463,0.04603388,-0.2119421,0.009994933,5.399999,335.5,0
1.79995,0.9727959,0.04587588,-0.2268242,0.01069676,5.4,333.75,-1.071974E-07
1.816547,0.9686891,0.0456822,-0.2437673,0.01149577,5.399999,331.75,1.071974E-07
1.833166,0.9649467,0.04348044,-0.2585567,0.01165055,5.159998,330,-2.143119E-07
1.850116,0.9615683,0.0413104,-0.2711903,0.01165074,4.919998,328.5,1.071164E-07
